molecule_chembl_id,canonical_smiles,standard_value
CHEMBL129112,COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,80.0
CHEMBL129628,COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,9.0
CHEMBL129305,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cccc1C(F)(F)F,110.0
CHEMBL129446,O=C1NCc2nc(Sc3cccc(C(F)(F)F)c3)ccc2N1c1c(Cl)cccc1Cl,1815.0
CHEMBL129704,CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,38.0
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,25.0
CHEMBL340377,O=C1NCc2nc(Sc3ccccc3F)ccc2N1c1c(Cl)cccc1Cl,450.0
CHEMBL129720,NC(=O)Oc1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,23.0
CHEMBL128813,O=C1NCc2nc(Sc3ccc(F)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,30.0
CHEMBL338612,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1Cl,69.0
CHEMBL128257,Nc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,1420.0
CHEMBL335878,O=C1NCc2nc(NCc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,113.0
CHEMBL131194,O=C1NCc2nc(Sc3ccccc3Br)ccc2N1c1c(Cl)cccc1Cl,120.0
CHEMBL128515,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl,230.0
CHEMBL129659,O=C1NCc2nc(Sc3cc(Cl)ccc3Cl)ccc2N1c1c(Cl)cccc1Cl,350.0
CHEMBL130076,O=C1NCc2nc(Sc3cccc(Cl)c3)ccc2N1c1c(Cl)cccc1Cl,2190.0
