,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
163,CHEMBL64075,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)cs1,active,160.0
164,CHEMBL62946,CC(C)(C)c1cc(NC(=O)Nc2ccc(C(F)(F)F)cc2)on1,active,200.0
165,CHEMBL59652,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2)no1,active,190.0
166,CHEMBL62794,Cc1cc(F)ccc1-c1cc(N(C(N)=O)c2c(Cl)cccc2Cl)ccc1CO,active,2.0
167,CHEMBL62665,CC(C)(C)c1cc(NC(=O)Nc2cc(Br)cc(Br)c2)no1,active,710.0
168,CHEMBL62788,NC(=O)c1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1,active,100.0
169,CHEMBL65671,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)on1,active,220.0
170,CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,active,20.0
171,CHEMBL41653,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,active,53.0
173,CHEMBL290971,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccc(O)cc2)cc1,active,35.0
174,CHEMBL416425,CC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,70.0
175,CHEMBL39251,Cc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,160.0
176,CHEMBL41723,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccncc2)cc1,active,13.0
177,CHEMBL37353,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(SCc2ccncc2)cc1,active,140.0
178,CHEMBL289357,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Nc2ccncc2)cc1,active,420.0
179,CHEMBL41970,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccccc2)cc1,active,270.0
180,CHEMBL415679,CC(C)CC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,37.0
181,CHEMBL289056,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccc(C(C)(C)C)cc2)cc1,active,183.0
182,CHEMBL41266,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccc(N)cc2)cc1,active,310.0
183,CHEMBL288812,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccncc2)cc1,active,42.0
184,CHEMBL288663,CC(C)OC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,54.0
185,CHEMBL38084,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccc(OCc3ccccc3)cc2)cc1,active,110.0
186,CHEMBL289155,CC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,235.0
187,CHEMBL38548,CCCCOc1ccc(Sc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,69.0
188,CHEMBL288889,CCC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,69.0
189,CHEMBL40020,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(NC(=O)CCC(=O)O)cc2)cc1,active,200.0
190,CHEMBL40138,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(CSc2ccncc2)cc1,active,44.0
191,CHEMBL39931,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(N)cc2)cc1,active,290.0
192,CHEMBL40166,CC(C)CC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,45.0
193,CHEMBL38648,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(CCc2ccncc2)cc1,active,430.0
194,CHEMBL41310,CCOC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,33.0
195,CHEMBL290982,CCC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,38.0
196,CHEMBL38625,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(NC(=O)OC(C)(C)C)cc2)cc1,active,87.0
197,CHEMBL288891,CCCOc1ccc(Sc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1,active,57.0
198,CHEMBL39136,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(OCc2ccncc2)cc1,active,260.0
199,CHEMBL18520,CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,active,67.0
200,CHEMBL278737,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1,active,220.0
201,CHEMBL279377,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,active,413.0
202,CHEMBL19045,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1,active,27.0
203,CHEMBL18282,Cc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OCCCO)cc1,active,56.0
204,CHEMBL429973,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccccc1,active,44.0
205,CHEMBL279128,CNC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1,active,88.0
206,CHEMBL279560,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(O)cc1,active,610.0
208,CHEMBL278275,CCCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,active,482.0
