,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
61,CHEMBL129305,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cccc1C(F)(F)F,active,453.8480000000001,6.405400000000003,1.0,3.0,6.958607314841775
63,CHEMBL129704,CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,413.9050000000001,5.949000000000003,1.0,3.0,7.42021640338319
64,CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,active,438.2860000000002,6.179100000000002,1.0,3.0,7.6020599913279625
65,CHEMBL340377,O=C1NCc2nc(Sc3ccccc3F)ccc2N1c1c(Cl)cccc1Cl,active,420.29600000000016,6.040000000000003,1.0,3.0,6.346787486224656
66,CHEMBL129720,NC(=O)Oc1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,479.32000000000016,5.497500000000002,2.0,5.0,7.638272163982407
67,CHEMBL128813,O=C1NCc2nc(Sc3ccc(F)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,454.7410000000001,6.693400000000002,1.0,3.0,7.522878745280337
68,CHEMBL338612,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1Cl,active,385.8510000000001,5.386600000000002,1.0,3.0,7.161150909262744
70,CHEMBL335878,O=C1NCc2nc(NCc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,active,399.2810000000002,5.361800000000003,2.0,3.0,6.94692155651658
71,CHEMBL131194,O=C1NCc2nc(Sc3ccccc3Br)ccc2N1c1c(Cl)cccc1Cl,active,481.2020000000001,6.663400000000003,1.0,3.0,6.920818753952375
72,CHEMBL128515,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl,active,488.2930000000001,7.058800000000002,1.0,3.0,6.638272163982407
73,CHEMBL129659,O=C1NCc2nc(Sc3cc(Cl)ccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,471.19600000000014,7.207700000000003,1.0,3.0,6.455931955649724
75,CHEMBL341029,O=C1NCc2nc(Sc3c(Cl)cccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,471.19600000000014,7.207700000000002,1.0,3.0,7.309803919971486
76,CHEMBL129775,CC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,462.3330000000001,6.242600000000004,1.0,4.0,7.795880017344075
77,CHEMBL131176,O=C1NCc2nc(Sc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,active,402.30600000000015,5.900900000000003,1.0,3.0,6.568636235841013
