"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"63",5.74112337062787,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,1,10,3,4
"64",7.42021640338319,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,18,0,0,10,5,4
"65",7.60205999132796,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,0,1,0,0,18,0,0,10,3,3
"66",6.34678748622466,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,1,0,0,18,0,0,10,3,3
"67",7.63827216398241,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,1,0,0,18,0,0,14,4,5
"68",7.52287874528034,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,0,1,0,0,18,0,0,10,3,3
"69",7.16115090926274,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,18,0,0,10,3,3
"70",5.84771165561694,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,0,11,4,3
"71",6.94692155651658,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,0,10,3,3
"72",6.92081875395237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,18,0,0,10,6,4
"73",6.63827216398241,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,18,0,0,10,3,3
"74",6.45593195564972,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,1,0,0,18,0,1,10,3,4
"75",5.65955588515988,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,18,0,0,10,3,3
"76",7.30980391997149,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,18,0,0,10,3,3
"77",7.79588001734408,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,0,10,3,3
"78",6.56863623584101,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,2,1,0,0,1,0,0,18,0,0,11,4,4
