0.5,5
0.6,4.8
0.7,4.1
9.6,4.1
1.8,4
2.5,4
9.1,3.8
2.3,3.8
7.8,2.8
8.8,2
10,0.8
2,0.2
2,10
57,10
2,10
7,10
9,460
65,310
25,38
40,1.86
3,273
109,6.5
6,1.2
277,1
5,571
0.9,1
172,67
76,0.95
31,97.4
4,16.5
168,70.4
9,5.72
139,105
14,871
93,23
21,23.4
50,271
790,792
310,45.6
140,33.2
760,6.88
560,10.9
20,8.43
8,141
11,10.8
35,2.73
20,294
9,3.62
5,5.48
490,44
197,4.5
168,4.7
25,345
52,23
44,34
18,345
57,77
51,56
16,354
8,4.6
100,3.7
346,5.6
64,4.3
264,6.5
31,54
250,4.5
24,87
28,66
73,35
84,209
227,766
53,399
97,251
195,171
37,405
33,17
29,5
16,5
13,17
29,2
14,5
11,5
13,1
164,17
50,7
38,12
167,6
593,7
137,7
39,5
26,3
30,21
40,5
37,2
40,3
55,2
154,18
112,30
68,12
47,4
220,5
8,3
42,2
4,7
78,7
1.1,11
80,6
60,2
0.9,2
180,4
2.2,62
1.2,22
0.4,167
8,12
2.2,17
3,60
10,11
0.9,11
3.1,8
23,3
1.2,31
1.5,33
3.3,25
12,6
13,123
13,6
3.6,13
5.6,18
7.7,2
4.7,6
230,24
20,9
680,1
5.5,2
15,2
21,8
17,27
11,52
5.5,38
3.2,10.5
3.7,500
2.7,46
1.6,44
3.3,7
10,0.5
6.5,0.5
12,1.2
16,0.9
47,0.3
6.4,45
20,5.6
33,3.5
48,1.6
175,1.1
72,7.1
146,4
33,0.2
7.1,0.3
21,0.7
39,5.1
130,0.9
330,1.2
53,6.5
34,168
160,417
110,80
110,27
270,0.04
3.8,1.4
5.4,0.8
4.2,1
3.4,8
2,8
22,5.6
2.3,5.7
3.5,3
3.5,15
4.5,35
3.2,24
4.1,16
36,51
62,13
13,29
28,117
140,224
2.3,495
3.6,60
7.2,187
7,93
3.2,19
3.9,19
3.9,81
5.1,177
3.7,80
8.8,7
7.1,38
20.4,18
6.7,39
8.5,77
14.5,30
26.1,3
34.7,22
6.1,101
4.4,376
6.4,12
4.5,61
2.5,21
3.5,56
158,30
6,245
11.2,523
9.9,145
16.2,263
56.4,57
131,89
88.4,33
156,79
2.4,369
856,308
254,439
0.75,92
130,332
47,184
32,10
28,68
200,128
80,67
73,15
460,5
350,17
13.4,12
5,32
28,70
0.7,29
4,31
1.5,2
9,22
6,8
27.5,11
103,7
233,46
6,74
4,1
22,98
10,94
12,14
3,98
8,14
0.9,67
179,239
63,335
5,5
6,40
10,18
199,33
2,269
28,13
5,69
14,27
1,36
10,48
87,417
380,139
50,149
3,86
8,66
3,63
5,10
21,1.5
240,8
184,7
4,45
7,32
9,47
24,44
6,20
9,5
67,6.7
13,12
13,724
253,330
12,73
6,1
4,81
18,28
11,58
10,120
8,167
5,22
14,68
27,12
16,65
2,44
12,57
23,72
2,47
16,11
7,42.7
123,855
