,hv,std.error,Label,,,,,,,,,,
157,0.000509286,-0.976700447,Internal,,,,,,,,,,
158,0.000477887,-0.002393422,Internal,,,,,,,,,,
159,0.000495553,-0.447056141,Internal,,,,,,,,,,
160,0.000780766,-2.261080228,Internal,,,,,,,,,,
161,0.000465394,-0.048371259,Internal,,,,,,,,,,
162,0.000481441,-0.348794611,Internal,,,,,,,,,,
163,0.000469372,-0.357208886,Internal,,,,,,,,,,
164,0.00047446,0.069769262,Internal,,,,,,,,,,
165,0.00082727,-0.15375738,Internal,,,,,,,,,,
166,0.001078545,-0.680581052,Internal,,,,,,,,,,
167,0.000484715,-0.563706801,Internal,,,,,,,,,,
168,0.000587558,-0.245553554,Internal,,,,,,,,,,
169,0.00080605,-1.147180376,Internal,,,,,,,,,,
170,0.00082727,-0.295124742,Internal,,,,,,,,,,
171,0.000658272,0.50825094,Internal,,,,,,,,,,
172,0.001298956,1.705208145,Internal,,,,,,,,,,
173,0.000520737,-0.014488757,Internal,,,,,,,,,,
174,0.000800801,0.205399305,Internal,,,,,,,,,,
175,0.000585926,0.267833032,Internal,,,,,,,,,,
176,0.002272536,1.535865485,Internal,,,,,,,,,,
177,0.001536199,1.868876072,Internal,,,,,,,,,,
178,0.000587558,-0.245553554,Internal,,,,,,,,,,
179,0.001008254,1.66657677,Internal,,,,,,,,,,
180,0.000468121,0.03647102,Internal,,,,,,,,,,
181,0.004161268,1.383685313,Internal,,,,,,,,,,
182,0.000961673,-1.338370371,Internal,,,,,,,,,,
183,0.000834837,-1.322614675,Internal,,,,,,,,,,
184,0.000605373,-0.424062999,Internal,,,,,,,,,,
185,0.002397791,2.133864473,Internal,,,,,,,,,,
186,0.000457476,0.073906023,Internal,,,,,,,,,,
187,0.000626382,-0.097689682,Internal,,,,,,,,,,
188,0.000457468,-0.026439713,Internal,,,,,,,,,,
189,0.000695785,0.798659542,Internal,,,,,,,,,,
190,0.000834837,-0.74635583,Internal,,,,,,,,,,
191,0.000965944,0.683787637,Internal,,,,,,,,,,
192,0.000591755,0.580591225,Internal,,,,,,,,,,
193,0.000481441,-0.168188383,Internal,,,,,,,,,,
194,0.00053751,-0.277577092,Internal,,,,,,,,,,
195,0.000638367,-0.717575986,Internal,,,,,,,,,,
