standatd,pIC50
1.15,8.93930216
0.51,9.292429824
0.61,9.214670165
0.45,9.346787486
40,7.397940009
199,6.701146924
251,6.600326279
581,6.235823868
180,6.744727495
162,6.790484985
50,7.301029996
171,6.76700389
37,7.431798276
33.2,7.478861916
2.8,8.552841969
15.4,7.812479279
6.2,8.207608311
18.3,7.73754891
37.8,7.4225082
6.6,8.180456064
4.3,8.366531544
17.7,7.752026734
13.5,7.869666232
3,8.522878745
4.6,8.337242168
5.8,8.236572006
14.6,7.835647144
22.3,7.651695137
12.4,7.906578315
2.2,8.657577319
5.1,8.292429824
2.5,8.602059991
43.2,7.364516253
4.1,8.387216143
3.2,8.494850022
7.2,8.142667504
83.3,7.079354999
11.1,7.954677021
26.4,7.578396073
8.3,8.080921908
14.5,7.838631998
24.5,7.610833916
5.6,8.251811973
8,8.096910013
54.5,7.263603498
16.6,7.779891912
47.2,7.326058001
5.4,8.26760624
9.2,8.036212173
544,6.2644011
83.2,7.079876674
285,6.54515514
19.5,7.709965389
21.6,7.665546249
15.3,7.815308569
7.6,8.119186408
55.5,7.255707017
17.7,7.752026734
10.9,7.962573502
8.8,8.055517328
