standatd,pIC50
29,7.537602002
31,7.508638306
2,8.698970004
22,7.657577319
8,8.096910013
11,7.958607315
7,8.15490196
46,7.337242168
74,7.13076828
1,9
98,7.008773924
94,7.026872146
14,7.853871964
98,7.008773924
14,7.853871964
67,7.173925197
239,6.621602099
335,6.474955193
5,8.301029996
40,7.397940009
18,7.744727495
33,7.48148606
269,6.57024772
13,7.886056648
69,7.161150909
27,7.568636236
36,7.443697499
48,7.318758763
417,6.379863945
139,6.8569852
149,6.826813732
86,7.065501549
66,7.180456064
63,7.200659451
10,8
1.5,8.823908741
8,8.096910013
7,8.15490196
45,7.346787486
32,7.494850022
47,7.327902142
44,7.356547324
20,7.698970004
5,8.301029996
6.7,8.173925197
12,7.920818754
724,6.140261434
330,6.48148606
73,7.13667714
1,9
81,7.091514981
28,7.552841969
58,7.236572006
120,6.920818754
167,6.777283529
22,7.657577319
68,7.167491087
12,7.920818754
65,7.187086643
44,7.356547324
57,7.244125144
72,7.142667504
47,7.327902142
11,7.958607315
42.7,7.369572125
855,6.068033885
969,6.013676223
0.8,9.096910013
3,8.522878745
4,8.397940009
36,7.443697499
126,6.899629455
149,6.826813732
2,8.698970004
38,7.420216403
217,6.663540266
241,6.617982957
47,7.327902142
17,7.769551079
35,7.455931956
22,7.657577319
26,7.585026652
100,7
3,8.522878745
17,7.769551079
106,6.974694135
89,7.050609993
463.8,6.333669256
69,7.161150909
43.2,7.364516253
59.3,7.226945307
42.2,7.374687549
60.2,7.220403509
31,7.508638306
36.6,7.436518915
90.5,7.043351421
38,7.420216403
382.4,6.417482116
107.3,6.969400278
294.9,6.530325227
137.8,6.860750782
151.5,6.819587367
168.5,6.773400095
192.1,6.716472635
34.7,7.459670525
81.8,7.087246696
95.8,7.018634491
43,7.366531544
182.3,6.739213331
35.7,7.447331784
94.3,7.025488307
32,7.494850022
35,7.455931956
25.1,7.600326279
47.2,7.326058001
69.1,7.160521953
690.6,6.160773426
161.8,6.791021483
304.8,6.515985037
193.2,6.713992878
903.2,6.044216071
0.28,9.552841969
0.2,9.698970004
0.2,9.698970004
0.4,9.397940009
0.1,10
0.4,9.397940009
0.3,9.522878745
0.2,9.698970004
1.4,8.853871964
1.2,8.920818754
0.7,9.15490196
0.8,9.096910013
13.1,7.882728704
0.4,9.397940009
2.7,8.568636236
1.3,8.886056648
32.9,7.482804102
2.6,8.585026652
1.6,8.795880017
0.6,9.22184875
1.1,8.958607315
34.9,7.457174573
17.6,7.754487332
4.2,8.37675071
1.3,8.886056648
0.9,9.045757491
6.7,8.173925197
5.3,8.27572413
40.9,7.388276692
32.5,7.488116639
129.3,6.888401475
659.1,6.181048688
374.4,6.42666416
106.7,6.971835581
129,6.88941029
2.7,8.568636236
4.4,8.356547324
1.8,8.744727495
73,7.13667714
56,7.251811973
34,7.468521083
290,6.537602002
9.4,8.026872146
11,7.958607315
210,6.677780705
84,7.075720714
11,7.958607315
23,7.638272164
12,7.920818754
14,7.853871964
23,7.638272164
2.2,8.657577319
5.4,8.26760624
5.4,8.26760624
26,7.585026652
515,6.288192771
58,7.236572006
10,8
316.2,6.500038134
7,8.15490196
0.9,9.045757491
35,7.455931956
1,9
1,9
88,7.055517328
45,7.346787486
24,7.619788758
40,7.397940009
13,7.886056648
55,7.259637311
36,7.443697499
29,7.537602002
27,7.568636236
184,6.735182177
15,7.823908741
15,7.823908741
27,7.568636236
20,7.698970004
38,7.420216403
18,7.744727495
21,7.677780705
28,7.552841969
23,7.638272164
22,7.657577319
42,7.37675071
14,7.853871964
222,6.653647026
61,7.214670165
51,7.292429824
41,7.387216143
20,7.698970004
3,8.522878745
44,7.356547324
29,7.537602002
19,7.721246399
19,7.721246399
16,7.795880017
27,7.568636236
18,7.744727495
20,7.698970004
18,7.744727495
5,8.301029996
5,8.301029996
6.2,8.207608311
